-494	4472
964	4407
2457	3787
3872	2226
4408	-137
3477	-2663
1126	-4258
-2053	-4055
-4352	-1559
-4193	1864
-1659	4210
1564	4163
3797	2078
4269	-795
3138	-3083
1444	-4208
-43	-4509
-891	-4456
-980	-4435
-1164	-4388
-1769	-4181
-1729	-4179
-1167	-4300
669	-4332
2144	-3813
3640	-2422
4371	-123
3554	2551
972	4321
-2161	3920
-4447	1284
-4030	-2476
-738	-4503
2719	-3481
4345	-528
3754	2408
1756	4222
-411	4583
-1731	4226
-2139	4018
-1715	4213
-413	4526
1546	4238
3487	2691
4324	-37
3293	-2836
618	-4414
-2625	-3814
-4628	-1014
-3986	2382
-1225	4333
1842	4033
3799	2193
4381	-237
3730	-2345
1912	-3972
-1289	-4245
-4170	-1856
-4600	-222
-3886	2496
-1687	4243
1253	4325
4227	1010
3831	-2138
1655	-4143
-1260	-4319
-3672	-2788
-4611	-427
-4325	1664
-3351	3095
-2339	3899
-1646	4207
-1505	4236
-1992	4043
-3027	3380
-4173	1920
-4634	-501
